,file,emotion,audio,source
31,./raw_source/RAVDESS/Actor_16/03-01-01-01-02-01-16.wav,neutral,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.9656126e-05 5.8946156e-05
 0.0000000e+00]",ravdess
33,./raw_source/RAVDESS/Actor_16/03-01-03-01-01-01-16.wav,happy,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.9418863e-05 3.0466281e-05
 0.0000000e+00]",ravdess
34,./raw_source/RAVDESS/Actor_16/03-01-03-02-02-01-16.wav,happy,"[ 1.4861443e-07 -1.6280487e-07  1.7306931e-07 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
35,./raw_source/RAVDESS/Actor_16/03-01-07-02-02-02-16.wav,disgust,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.1003667e-05
  5.3526005e-06  0.0000000e+00]",ravdess
36,./raw_source/RAVDESS/Actor_16/03-01-04-02-02-01-16.wav,sad,"[-6.1248056e-06 -4.8266851e-05 -9.6139804e-05 ...  6.9340743e-08
 -6.8798990e-08  0.0000000e+00]",ravdess
37,./raw_source/RAVDESS/Actor_16/03-01-04-01-01-01-16.wav,sad,"[ 0.000000e+00  0.000000e+00  0.000000e+00 ... -9.032854e-07  7.402616e-07
  0.000000e+00]",ravdess
38,./raw_source/RAVDESS/Actor_16/03-01-07-01-01-02-16.wav,disgust,"[ 0.000000e+00  0.000000e+00  0.000000e+00 ... -5.244597e-07  3.087021e-07
  0.000000e+00]",ravdess
39,./raw_source/RAVDESS/Actor_16/03-01-05-02-01-02-16.wav,angry,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.8595292e-07
 -5.8347052e-07  0.0000000e+00]",ravdess
40,./raw_source/RAVDESS/Actor_16/03-01-06-02-01-01-16.wav,fear,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.1763468e-06
 -2.0219426e-05  0.0000000e+00]",ravdess
41,./raw_source/RAVDESS/Actor_16/03-01-06-01-02-01-16.wav,fear,"[-1.9929753e-06 -1.3049745e-05  1.6122704e-07 ... -1.9122794e-05
  7.3381743e-05  0.0000000e+00]",ravdess
42,./raw_source/RAVDESS/Actor_16/03-01-05-01-02-02-16.wav,angry,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.0566058e-05 1.3981737e-05
 0.0000000e+00]",ravdess
43,./raw_source/RAVDESS/Actor_16/03-01-08-01-01-02-16.wav,surprised,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.0793420e-06
 -1.5932054e-06  0.0000000e+00]",ravdess
44,./raw_source/RAVDESS/Actor_16/03-01-08-02-02-02-16.wav,surprised,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.6843480e-07
 -3.8839426e-07  0.0000000e+00]",ravdess
45,./raw_source/RAVDESS/Actor_16/03-01-04-02-01-02-16.wav,sad,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.8675448e-09
 -1.1229446e-08  0.0000000e+00]",ravdess
46,./raw_source/RAVDESS/Actor_16/03-01-07-02-01-01-16.wav,disgust,"[ 0.000000e+00  0.000000e+00  0.000000e+00 ... -6.244267e-05 -5.080612e-05
  0.000000e+00]",ravdess
47,./raw_source/RAVDESS/Actor_16/03-01-07-01-02-01-16.wav,disgust,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  8.0032023e-06
 -4.3980657e-05  0.0000000e+00]",ravdess
48,./raw_source/RAVDESS/Actor_16/03-01-04-01-02-02-16.wav,sad,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.9907545e-07
 -6.1902301e-07  0.0000000e+00]",ravdess
49,./raw_source/RAVDESS/Actor_16/03-01-06-02-02-02-16.wav,fear,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.4146366e-06
 -4.1399267e-06  0.0000000e+00]",ravdess
50,./raw_source/RAVDESS/Actor_16/03-01-05-02-02-01-16.wav,angry,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.4936194e-05
 -2.8932388e-06  0.0000000e+00]",ravdess
51,./raw_source/RAVDESS/Actor_16/03-01-05-01-01-01-16.wav,angry,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.0300896e-09
  1.0359929e-08  0.0000000e+00]",ravdess
52,./raw_source/RAVDESS/Actor_16/03-01-06-01-01-02-16.wav,fear,[0. 0. 0. ... 0. 0. 0.],ravdess
53,./raw_source/RAVDESS/Actor_16/03-01-08-01-02-01-16.wav,surprised,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.1413482e-05
 -3.1332556e-06  0.0000000e+00]",ravdess
54,./raw_source/RAVDESS/Actor_16/03-01-08-02-01-01-16.wav,surprised,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.5611554e-06
  3.3549663e-06  0.0000000e+00]",ravdess
55,./raw_source/RAVDESS/Actor_16/03-01-01-01-01-02-16.wav,neutral,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.6991374e-10
 -5.6173849e-10  0.0000000e+00]",ravdess
58,./raw_source/RAVDESS/Actor_16/03-01-03-01-02-02-16.wav,happy,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.1529368e-06
 -9.1583189e-07  0.0000000e+00]",ravdess
59,./raw_source/RAVDESS/Actor_16/03-01-03-02-01-02-16.wav,happy,"[-1.2782263e-05 -1.0258184e-06  6.1477124e-07 ... -5.2009753e-05
 -2.5108304e-05  0.0000000e+00]",ravdess
60,./raw_source/RAVDESS/Actor_11/03-01-01-01-02-02-11.wav,neutral,"[-4.2046711e-05 -6.8732683e-05 -5.3474985e-05 ...  4.5169782e-04
  4.7340980e-04  0.0000000e+00]",ravdess
63,./raw_source/RAVDESS/Actor_11/03-01-03-01-01-02-11.wav,happy,"[ 1.5182918e-05  1.3956031e-05  2.5323312e-05 ... -3.6435686e-05
 -4.4226752e-05  0.0000000e+00]",ravdess
64,./raw_source/RAVDESS/Actor_11/03-01-03-02-02-02-11.wav,happy,"[8.7551874e-05 1.3283629e-04 8.7496075e-05 ... 1.7464753e-04 2.0036273e-04
 0.0000000e+00]",ravdess
65,./raw_source/RAVDESS/Actor_11/03-01-04-02-02-02-11.wav,sad,"[-1.6482957e-07  1.4285199e-07 -1.0765291e-07 ... -5.5778634e-07
  3.6827026e-07  0.0000000e+00]",ravdess
66,./raw_source/RAVDESS/Actor_11/03-01-07-02-02-01-11.wav,disgust,"[-7.4775933e-05 -1.0801280e-04 -1.0975967e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
67,./raw_source/RAVDESS/Actor_11/03-01-07-01-01-01-11.wav,disgust,"[ 5.6800284e-09 -6.6714296e-09  7.5467339e-09 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
68,./raw_source/RAVDESS/Actor_11/03-01-04-01-01-02-11.wav,sad,"[ 1.1327367e-06 -1.5105284e-06 -2.3219089e-05 ...  1.0550528e-07
 -7.4576548e-08  0.0000000e+00]",ravdess
69,./raw_source/RAVDESS/Actor_11/03-01-06-02-01-02-11.wav,fear,"[-1.0001330e-04 -1.2882640e-04 -2.2261847e-05 ...  9.3211347e-05
  6.7173110e-05  0.0000000e+00]",ravdess
70,./raw_source/RAVDESS/Actor_11/03-01-05-02-01-01-11.wav,angry,"[-3.0139559e-05 -5.0483173e-05 -6.0976883e-05 ...  2.8986033e-05
  5.4038141e-05  0.0000000e+00]",ravdess
71,./raw_source/RAVDESS/Actor_11/03-01-05-01-02-01-11.wav,angry,"[-1.0398557e-04 -1.4350057e-04 -1.5373167e-04 ...  6.5988126e-05
  1.1213522e-04  0.0000000e+00]",ravdess
72,./raw_source/RAVDESS/Actor_11/03-01-06-01-02-02-11.wav,fear,"[ 7.8598703e-07 -7.0515603e-07  1.2678165e-06 ...  2.4839026e-05
  3.6159632e-05  0.0000000e+00]",ravdess
73,./raw_source/RAVDESS/Actor_11/03-01-08-01-01-01-11.wav,surprised,"[-2.5758736e-05 -2.0743963e-05  8.9895576e-07 ...  3.1962606e-09
 -2.4966620e-09  0.0000000e+00]",ravdess
74,./raw_source/RAVDESS/Actor_11/03-01-08-02-02-01-11.wav,surprised,"[1.0017778e-04 1.3643615e-04 1.2013205e-04 ... 7.6313161e-05 6.6601140e-05
 0.0000000e+00]",ravdess
75,./raw_source/RAVDESS/Actor_11/03-01-07-02-01-02-11.wav,disgust,"[ 5.8336009e-05  8.1488608e-05  4.6898676e-05 ... -7.9365755e-03
 -8.7798024e-03  0.0000000e+00]",ravdess
76,./raw_source/RAVDESS/Actor_11/03-01-04-02-01-01-11.wav,sad,"[-2.66710140e-05 -4.16440380e-05 -4.45589030e-05 ...  3.72471404e-05
  1.05738545e-05  0.00000000e+00]",ravdess
77,./raw_source/RAVDESS/Actor_11/03-01-04-01-02-01-11.wav,sad,"[ 7.2697320e-10 -5.0790185e-09  1.0667764e-08 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
78,./raw_source/RAVDESS/Actor_11/03-01-07-01-02-02-11.wav,disgust,"[2.2134185e-05 3.3234930e-05 4.7668625e-05 ... 1.8715460e-05 3.1770625e-05
 0.0000000e+00]",ravdess
79,./raw_source/RAVDESS/Actor_11/03-01-05-02-02-02-11.wav,angry,"[-3.6464658e-05 -1.7872269e-04 -2.5839725e-05 ... -8.2619699e-05
 -1.0652065e-04  0.0000000e+00]",ravdess
80,./raw_source/RAVDESS/Actor_11/03-01-06-02-02-01-11.wav,fear,"[4.33938258e-05 8.92238313e-05 1.19951175e-04 ... 2.74926890e-04
 2.37816290e-04 0.00000000e+00]",ravdess
81,./raw_source/RAVDESS/Actor_11/03-01-06-01-01-01-11.wav,fear,"[-2.5839058e-06  1.0881873e-05  5.8706987e-06 ... -6.1533872e-05
 -7.9256090e-05  0.0000000e+00]",ravdess
82,./raw_source/RAVDESS/Actor_11/03-01-05-01-01-02-11.wav,angry,"[ 1.1121890e-05  5.2797468e-06  9.5963223e-06 ...  6.9089556e-06
 -1.6511116e-05  0.0000000e+00]",ravdess
83,./raw_source/RAVDESS/Actor_11/03-01-08-01-02-02-11.wav,surprised,"[ 1.0141278e-04  1.2023348e-04 -8.0334194e-06 ... -6.9118047e-05
 -8.9678215e-05  0.0000000e+00]",ravdess
84,./raw_source/RAVDESS/Actor_11/03-01-08-02-01-02-11.wav,surprised,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.03332146e-04
 8.61147055e-05 0.00000000e+00]",ravdess
86,./raw_source/RAVDESS/Actor_11/03-01-01-01-01-01-11.wav,neutral,"[-5.2721674e-07  8.2976283e-07 -1.3403313e-06 ...  5.4800377e-05
  3.9269362e-05  0.0000000e+00]",ravdess
88,./raw_source/RAVDESS/Actor_11/03-01-03-01-02-01-11.wav,happy,"[2.3080393e-05 4.7841440e-05 1.8211405e-05 ... 4.7479738e-05 5.2140527e-05
 0.0000000e+00]",ravdess
89,./raw_source/RAVDESS/Actor_11/03-01-03-02-01-01-11.wav,happy,"[-5.2941868e-08  1.9009287e-08  2.6495190e-08 ...  1.0545691e-04
  1.0128235e-04  0.0000000e+00]",ravdess
90,./raw_source/RAVDESS/Actor_11/03-01-06-01-02-01-11.wav,fear,"[ 1.8047605e-06  1.3419478e-05 -7.6088503e-07 ... -9.1590928e-06
 -2.1136040e-05  0.0000000e+00]",ravdess
91,./raw_source/RAVDESS/Actor_11/03-01-05-01-02-02-11.wav,angry,"[-2.2350328e-05 -3.2666827e-05 -2.9328314e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
92,./raw_source/RAVDESS/Actor_11/03-01-05-02-01-02-11.wav,angry,"[ 6.4091199e-07 -9.7488169e-07  1.5218887e-06 ...  1.4865213e-05
  1.3710648e-05  0.0000000e+00]",ravdess
93,./raw_source/RAVDESS/Actor_11/03-01-06-02-01-01-11.wav,fear,"[-7.0119683e-08 -4.0410461e-07  1.1636250e-06 ...  3.7429989e-05
 -1.5163779e-05  0.0000000e+00]",ravdess
94,./raw_source/RAVDESS/Actor_11/03-01-04-01-01-01-11.wav,sad,"[ 9.8117351e-05  1.5482676e-04  1.1138364e-04 ... -6.4418986e-05
 -7.2761199e-05  0.0000000e+00]",ravdess
95,./raw_source/RAVDESS/Actor_11/03-01-07-01-01-02-11.wav,disgust,"[-1.3576662e-05 -8.1726149e-08 -5.6007013e-07 ...  4.1586030e-05
  4.2557280e-05  0.0000000e+00]",ravdess
96,./raw_source/RAVDESS/Actor_11/03-01-07-02-02-02-11.wav,disgust,"[ 1.9716546e-05  3.5858535e-05  2.5135058e-05 ... -9.1705306e-06
 -4.7287590e-06  0.0000000e+00]",ravdess
97,./raw_source/RAVDESS/Actor_11/03-01-04-02-02-01-11.wav,sad,"[ 9.3206090e-06  2.8868657e-05  2.5110739e-05 ... -9.9918128e-05
 -1.0209030e-04  0.0000000e+00]",ravdess
98,./raw_source/RAVDESS/Actor_11/03-01-08-02-02-02-11.wav,surprised,"[ 1.8695755e-05  4.4336794e-05  3.4898254e-05 ... -7.3663992e-05
 -8.2688435e-05  0.0000000e+00]",ravdess
99,./raw_source/RAVDESS/Actor_11/03-01-08-01-01-02-11.wav,surprised,"[4.38110037e-05 8.86311391e-05 6.79003715e-05 ... 1.38619935e-05
 1.84575074e-05 0.00000000e+00]",ravdess
100,./raw_source/RAVDESS/Actor_11/03-01-03-02-02-01-11.wav,happy,"[ 1.1645848e-05  3.1110776e-06 -4.3206674e-06 ...  9.7142605e-05
  8.6879816e-05  0.0000000e+00]",ravdess
101,./raw_source/RAVDESS/Actor_11/03-01-03-01-01-01-11.wav,happy,"[-6.3602798e-05 -8.6964530e-05 -7.8349643e-05 ... -3.8872684e-05
 -6.6795503e-05  0.0000000e+00]",ravdess
104,./raw_source/RAVDESS/Actor_11/03-01-01-01-02-01-11.wav,neutral,"[-1.2634681e-06  1.5004285e-06  2.3913404e-05 ...  5.4147935e-05
  3.7107817e-05  0.0000000e+00]",ravdess
105,./raw_source/RAVDESS/Actor_11/03-01-03-02-01-02-11.wav,happy,"[ 4.7297081e-07 -1.6766206e-05 -1.9333109e-05 ...  1.9730796e-04
  1.8830714e-04  0.0000000e+00]",ravdess
106,./raw_source/RAVDESS/Actor_11/03-01-03-01-02-02-11.wav,happy,"[-9.6169958e-07  8.7800163e-06  8.9592595e-06 ...  7.5486394e-05
  9.6124786e-05  0.0000000e+00]",ravdess
108,./raw_source/RAVDESS/Actor_11/03-01-01-01-01-02-11.wav,neutral,"[-2.0082047e-05 -3.6026857e-05 -4.2684351e-05 ...  9.8053779e-06
  9.3445078e-06  0.0000000e+00]",ravdess
110,./raw_source/RAVDESS/Actor_11/03-01-05-01-01-01-11.wav,angry,"[4.0646595e-05 9.3142567e-05 7.9651749e-05 ... 2.9703808e-05 3.2711432e-05
 0.0000000e+00]",ravdess
111,./raw_source/RAVDESS/Actor_11/03-01-06-01-01-02-11.wav,fear,"[ 2.3211149e-07 -2.6495709e-07  2.9292690e-07 ...  1.5123580e-04
  1.3413306e-04  0.0000000e+00]",ravdess
112,./raw_source/RAVDESS/Actor_11/03-01-06-02-02-02-11.wav,fear,"[ 4.21967252e-06  2.62287085e-05  2.77488944e-05 ... -1.21155055e-04
 -1.82467498e-04  0.00000000e+00]",ravdess
113,./raw_source/RAVDESS/Actor_11/03-01-05-02-02-01-11.wav,angry,"[-1.2462267e-08 -4.5879625e-09  2.6431058e-08 ... -2.6773202e-04
 -2.9766993e-04  0.0000000e+00]",ravdess
114,./raw_source/RAVDESS/Actor_11/03-01-07-01-02-01-11.wav,disgust,"[-4.2923606e-05 -6.8247587e-05 -4.6757945e-05 ... -6.5111731e-06
 -9.5966270e-06  0.0000000e+00]",ravdess
115,./raw_source/RAVDESS/Actor_11/03-01-04-01-02-02-11.wav,sad,"[-4.9272287e-05 -6.5111111e-05 -6.7035631e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
116,./raw_source/RAVDESS/Actor_11/03-01-04-02-01-02-11.wav,sad,"[-5.9398020e-10  7.6544054e-10 -9.4802866e-10 ...  1.0393958e-05
  2.2375287e-05  0.0000000e+00]",ravdess
117,./raw_source/RAVDESS/Actor_11/03-01-07-02-01-01-11.wav,disgust,"[-2.0804957e-05 -1.9806397e-05 -2.1040063e-05 ... -1.2575579e-04
 -1.5036089e-04  0.0000000e+00]",ravdess
118,./raw_source/RAVDESS/Actor_11/03-01-08-02-01-01-11.wav,surprised,"[-8.7252134e-05 -1.4830304e-04 -1.1135515e-04 ...  2.1486172e-05
  9.2967830e-06  0.0000000e+00]",ravdess
119,./raw_source/RAVDESS/Actor_11/03-01-08-01-02-01-11.wav,surprised,"[8.0680675e-06 3.4380602e-05 1.7415321e-05 ... 3.0341789e-05 3.1251206e-05
 0.0000000e+00]",ravdess
120,./raw_source/RAVDESS/Actor_18/03-01-03-02-01-02-18.wav,happy,"[-3.4753891e-09  4.7945723e-09 -6.3257968e-09 ...  5.9480652e-07
 -4.4528335e-07  0.0000000e+00]",ravdess
121,./raw_source/RAVDESS/Actor_18/03-01-03-01-02-02-18.wav,happy,[0. 0. 0. ... 0. 0. 0.],ravdess
124,./raw_source/RAVDESS/Actor_18/03-01-01-01-01-02-18.wav,neutral,[0. 0. 0. ... 0. 0. 0.],ravdess
125,./raw_source/RAVDESS/Actor_18/03-01-06-01-01-02-18.wav,fear,[0. 0. 0. ... 0. 0. 0.],ravdess
126,./raw_source/RAVDESS/Actor_18/03-01-05-01-01-01-18.wav,angry,"[ 0.0000000e+00 -1.1271335e-12  2.5626274e-12 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
127,./raw_source/RAVDESS/Actor_18/03-01-05-02-02-01-18.wav,angry,"[ 2.2149584e-09 -4.0039869e-09  6.2654477e-09 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
128,./raw_source/RAVDESS/Actor_18/03-01-06-02-02-02-18.wav,fear,"[1.9963752e-04 2.8329983e-04 6.5009612e-05 ... 1.6720769e-07 2.6078678e-07
 0.0000000e+00]",ravdess
129,./raw_source/RAVDESS/Actor_18/03-01-04-01-02-02-18.wav,sad,[0. 0. 0. ... 0. 0. 0.],ravdess
130,./raw_source/RAVDESS/Actor_18/03-01-07-01-02-01-18.wav,disgust,"[ 0.000000e+00  0.000000e+00  0.000000e+00 ... -1.120615e-08  9.216074e-09
  0.000000e+00]",ravdess
131,./raw_source/RAVDESS/Actor_18/03-01-07-02-01-01-18.wav,disgust,"[ 1.3945042e-07 -1.6381924e-07  1.8662318e-07 ... -6.8608536e-08
  5.3513180e-08  0.0000000e+00]",ravdess
132,./raw_source/RAVDESS/Actor_18/03-01-04-02-01-02-18.wav,sad,[0. 0. 0. ... 0. 0. 0.],ravdess
133,./raw_source/RAVDESS/Actor_18/03-01-08-02-01-01-18.wav,surprised,"[-4.3238927e-08  4.7927376e-08 -5.1209227e-08 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
134,./raw_source/RAVDESS/Actor_18/03-01-08-01-02-01-18.wav,surprised,[0. 0. 0. ... 0. 0. 0.],ravdess
135,./raw_source/RAVDESS/Actor_18/03-01-05-01-02-02-18.wav,angry,[0. 0. 0. ... 0. 0. 0.],ravdess
136,./raw_source/RAVDESS/Actor_18/03-01-06-01-02-01-18.wav,fear,[0. 0. 0. ... 0. 0. 0.],ravdess
137,./raw_source/RAVDESS/Actor_18/03-01-06-02-01-01-18.wav,fear,"[ 1.3736240e-10 -8.0509721e-10  1.7407468e-09 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
138,./raw_source/RAVDESS/Actor_18/03-01-05-02-01-02-18.wav,angry,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.8528098e-09
  3.1047558e-09  0.0000000e+00]",ravdess
139,./raw_source/RAVDESS/Actor_18/03-01-07-01-01-02-18.wav,disgust,"[ 7.2793526e-08 -8.4489663e-08  9.5075265e-08 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
140,./raw_source/RAVDESS/Actor_18/03-01-04-01-01-01-18.wav,sad,[0. 0. 0. ... 0. 0. 0.],ravdess
141,./raw_source/RAVDESS/Actor_18/03-01-04-02-02-01-18.wav,sad,"[ 1.0109706e-07 -1.8458940e-07  2.8312431e-07 ...  6.5268534e-07
 -4.2243914e-07  0.0000000e+00]",ravdess
142,./raw_source/RAVDESS/Actor_18/03-01-07-02-02-02-18.wav,disgust,[0. 0. 0. ... 0. 0. 0.],ravdess
143,./raw_source/RAVDESS/Actor_18/03-01-08-02-02-02-18.wav,surprised,"[-9.3756455e-07  1.2991613e-06 -1.8662927e-06 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
144,./raw_source/RAVDESS/Actor_18/03-01-08-01-01-02-18.wav,surprised,"[-9.084159e-08  8.861279e-08 -8.140193e-08 ...  0.000000e+00  0.000000e+00
  0.000000e+00]",ravdess
145,./raw_source/RAVDESS/Actor_18/03-01-03-02-02-01-18.wav,happy,[0. 0. 0. ... 0. 0. 0.],ravdess
146,./raw_source/RAVDESS/Actor_18/03-01-03-01-01-01-18.wav,happy,"[-8.8390209e-08  1.0181708e-07 -1.1384954e-07 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
148,./raw_source/RAVDESS/Actor_18/03-01-01-01-02-01-18.wav,neutral,"[-1.4251865e-10  1.9504061e-10 -2.5405866e-10 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",ravdess
150,./raw_source/RAVDESS/Actor_18/03-01-04-02-01-01-18.wav,sad,[0. 0. 0. ... 0. 0. 0.],ravdess
151,./raw_source/RAVDESS/Actor_18/03-01-07-02-01-02-18.wav,disgust,[0. 0. 0. ... 0. 0. 0.],ravdess
152,./raw_source/RAVDESS/Actor_18/03-01-07-01-02-02-18.wav,disgust,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.8863416e-07
  2.0480346e-07  0.0000000e+00]",ravdess
